"","number","Wo","CR","Freq","aorta_Um_avg","aorta_Um_max","aorta_Ux_avg","aorta_Ux_max","connect_Um_avg","connect_Um_max","connect_Uy_avg","connect_Uy_max","vena_Um_avg","vena_Um_max","vena_Ux_avg","vena_Ux_max","aorta_P_avg","aorta_P_max","vena_P_avg","vena_P_max","delta_P","Q","COT","Work"
"1",1,0.56440976,0.675,1.25,0.627766462810262,2.46160283684731,0.510074338675463,2.43883088231087,0.440336688844792,1.97057038545608,0.371997139513321,1.9572214782238,0.647066513813722,2.51443594694138,0.563349975728205,2.49384135007858,660.428770717609,3050.8150390625,-602.267132209165,1559.4822265625,-1262.69590292677,0.986672160262477,5145200000,1306.7
"2",2,0.78737526,0.51622868,1.25,0.406982628005491,1.54360562562943,0.175252053481558,1.53045892715454,0.257728676358686,1.16998679935932,0.138810673701475,1.1609361320734,0.426347912934844,1.57627791166305,0.214998829482891,1.56493127346039,124.400777834705,2035.0744140625,-92.6297699617209,1715.8994140625,-217.030547796426,0.538355444568157,3459500000,832.47
"3",3,0.78737526,0.675,0.8169873,0.617011197213235,2.65534788370132,0.55675560075187,2.62376099824905,0.457066922664038,2.47745975852013,0.404715626299906,2.4664805829525,0.665434879230608,2.63675361871719,0.602679978654892,2.61060804128647,235.806271657636,967.57900390625,-221.286016929492,61.5409057617188,-457.092288587128,1.18637628616509,4620300000,1283.6
"4",4,0.78737526,0.675,1.25,0.642513830713671,2.4769452214241,0.520461264325195,2.45543912053108,0.444593031828005,1.97490736842156,0.374719248160047,1.96136236190796,0.666041217537252,2.53337562084198,0.581727623239519,2.51180231571198,404.673290203856,2694.718359375,-264.557853236646,1949.5908203125,-669.231143440502,0.991922852996884,4173500000,1046.2
"5",5,0.78737526,0.675,1.6830127,0.823356815073147,3.19687068462372,0.643663687834406,3.15423727035523,0.605726952713807,2.99007833003998,0.461617696944114,2.97339886426926,0.867605669388377,3.18029820919037,0.663481531193135,3.14500898122787,533.216911928878,1858.6529296875,-526.599584116236,198.209753417969,-1059.81649604511,1.61642143947722,1.3894e+10,4082
"6",6,0.78737526,0.83377132,1.25,1.33042547804147,4.41800445318222,1.25040608520104,4.34200048446655,1.05139982840046,3.92811387777328,0.966196587522623,3.90512079000473,1.34725309278181,4.37138885259628,1.3202093916677,4.29592669010162,867.126772591424,3501.4578125,-671.331707564586,1878.5943359375,-1538.45848015601,2.57656761609739,6344700000,1471.7
"7",7,1.2157465,0.46198592,1.25,0.362583263122982,1.32915571331978,0.123308763273894,1.31735056638718,0.230065077605944,1.01247936487198,0.098482222817508,1.00335665047169,0.382016182113317,1.35965213179588,0.157205789018084,1.34851306676865,73.5841074405063,1755.9078125,1.64055390062013,1656.109375,-71.9435535398862,0.478460274982889,2759900000,632.02
"8",8,1.2157465,0.51622868,0.8169873,0.263413054423663,1.07093945145607,0.217650264629021,1.05466157197952,0.19307116340168,1.01885311305523,0.154025859856765,1.01522207260132,0.279955854805127,1.09692297875881,0.233061459741956,1.08877681195736,46.655391553995,363.251708984375,-27.0893788805119,135.477709960938,-73.7447704345069,0.480674969880426,2.973e+09,957.85
"9",9,1.2157465,0.51622868,1.25,0.414978735878119,1.54709294438362,0.180100629167291,1.53259322047234,0.261663022827214,1.18758402764797,0.139930276847736,1.17740660905838,0.449910552461015,1.59625440835953,0.236063811665849,1.58566355705261,91.6253187685442,1944.2505859375,-1.77964316822772,1811.0146484375,-93.4049619367719,0.545769047544756,2887300000,704.16
"10",10,1.2157465,0.51622868,1.6830127,0.383171369883821,1.44639283418655,0.27264633815831,1.42455548048019,0.285210892277134,1.34454220533371,0.189006381558172,1.33850023150444,0.403481230570226,1.43056839704513,0.273392355974091,1.41851112246513,101.039548009889,491.970947265625,-87.0548448254195,40.7770538330078,-188.094392835308,0.725934596340739,1.2947e+10,4218.1
"11",11,1.2157465,0.675,0.6690525,0.659380320436724,2.62522846460342,0.577352455086572,2.58325785398483,0.478066905960279,2.40235537290573,0.404937278685086,2.40050971508026,0.692561097751216,2.65133798122406,0.59604681210526,2.63945341110229,215.906246832733,2580.523828125,61.7783698852373,2163.1767578125,-154.127876947496,1.19464703668497,1863600000,641.61
"12",12,1.2157465,0.675,0.8169873,0.608551794676228,2.62151122093201,0.552858410845075,2.58606165647507,0.454852372377401,2.4567848443985,0.404214294536667,2.44671955704689,0.645264584771383,2.65083700418472,0.586446615918567,2.62681216001511,105.442034377307,588.825439453125,-82.4621822845999,90.3661560058594,-187.904216661907,1.17706612741071,3715600000,1144.1
"13",13,1.2157465,0.675,1.25,0.654718910252094,2.492865473032,0.524352766519863,2.47024431824684,0.45154099777126,1.99324309825897,0.378558601240981,1.97874590754509,0.674305667366521,2.571060359478,0.58846230948946,2.54859715700149,219.192781399545,2477.3501953125,-76.5938357715211,2168.4677734375,-295.786617171066,1.00562271754134,3257800000,833.68
"14",14,1.2157465,0.675,1.6830127,0.838961220428417,3.2696545124054,0.655119481933101,3.22273075580597,0.630831848160597,3.02094370126724,0.469243500111378,3.00689220428467,0.885834726439992,3.33687394857407,0.685752596409162,3.30548793077469,238.483868773371,930.02001953125,-222.651233294283,24.2580749511719,-461.135102067654,1.67182742879413,1.2105e+10,3532.1
"15",15,1.2157465,0.675,1.8309475,0.831097551436915,3.39911758899689,0.626200500970789,3.36272954940796,0.608422072885822,3.1353822350502,0.443593961101215,3.1186980009079,0.83130224608184,3.2374519109726,0.632967883185708,3.19721758365631,228.438941708187,640.892578125,-243.012741271461,971.134765625,-471.451682979648,1.58330333521544,1.209e+10,3263.5
"16",16,1.2157465,0.83377132,0.8169873,1.45859280700992,6.33360087871552,1.37003483648976,6.2584924697876,1.09605004873611,5.88444173336029,1.01104448057326,5.85967779159546,1.49512092886992,6.32032632827759,1.39917354095719,6.25459313392639,251.4785529415,1026.9875,-219.232269099925,90.1158996582031,-470.710822041425,2.88829968601442,3965500000,1077
"17",17,1.2157465,0.83377132,1.25,1.39700379311897,4.40609306097031,1.31613236196354,4.3680414557457,1.06316576662581,3.86336714029312,0.976910574606756,3.83555799722672,1.39737323055016,4.41670745611191,1.36985235133521,4.33883458375931,478.868169306806,2999.1919921875,-206.843565278955,2390.54140625,-685.711734585761,2.595729647183,4187800000,1148.6
"18",18,1.2157465,0.83377132,1.6830127,1.84909655856421,7.12813138961792,1.50835011690843,7.04872250556946,1.35901912251183,6.75988376140594,1.06080579843994,6.72236800193787,1.92208538627152,7.31153905391693,1.55089432450496,7.23711490631104,526.70117980645,1779.4939453125,-530.343946605931,98.6544128417969,-1057.04512641238,3.65275976650527,1.3192e+10,3607.5
"19",19,1.2157465,0.88801408,1.25,1.76001856382762,5.55277168750763,1.67114524065553,5.50577878952026,1.358419870904,4.94923561811447,1.26569210953145,4.9166265130043,1.73419124437694,5.49329102039337,1.6995335241026,5.39603412151337,518.48189559664,3171.0392578125,-349.355062946906,2470.9291015625,-867.836958543546,3.35415831137976,5174600000,1327.3
"20",20,2.1921162,0.43818751,1.25,0.359160203257617,1.17741048336029,0.0987329094026062,1.1680506914854,0.234177551594957,0.928973481059074,0.0823111941440752,0.912822633981705,0.382480143839734,1.27644076943397,0.139334809481655,1.27161592245102,59.2224779337099,1651.7470703125,37.0331059091629,1627.2447265625,-22.189372024547,0.487500374652565,2417200000,556.27
"21",21,2.1921162,0.46198592,0.8169873,0.193823030323631,0.759588181972504,0.140577643522398,0.738670602440834,0.153803934732276,0.779421478509903,0.108778501454132,0.778167322278023,0.202276695865358,0.796585455536842,0.150629284138342,0.785837769508362,13.2225345225077,253.341479492188,-0.11773279629629,199.324194335938,-13.340267318804,0.373578508678884,1965300000,617.58
"22",22,2.1921162,0.46198592,1.25,0.390252665627339,1.2628298997879,0.128004738788192,1.2497241795063,0.247611443279311,0.99392481148243,0.0969847038361947,0.976974442601204,0.414068682248179,1.35652139782906,0.158628248385642,1.35079801082611,83.9596633067152,1730.68515625,71.3515523542319,1705.0599609375,-12.6081109524833,0.51561195299307,2420900000,551.33
"23",23,2.1921162,0.46198592,1.6830127,0.300906974367675,1.05694323778152,0.194540960157449,1.04122333228588,0.228990319014813,1.02180995047092,0.136309435253049,1.01789809763431,0.317538654700536,1.11865319311619,0.203951146278227,1.11050248146057,27.5754793925163,244.924194335938,-11.5392549218586,94.7154907226562,-39.1147343143749,0.55944209439172,8274600000,2701.2
"24",24,2.1921162,0.51622868,0.6690525,0.381331347571096,1.25646814703941,0.209313863165391,1.20133504271507,0.284482976011026,1.15672536194324,0.156074040796334,1.15102782845497,0.360745929638959,1.29668787121773,0.221352599928289,1.29656597971916,103.090775365846,1939.6646484375,81.2114133821233,1880.840234375,-21.8793619837227,0.658922716230504,1500300000,542.58
"25",25,2.1921162,0.51622868,0.8169873,0.251713438948013,1.00309625267982,0.201158193127414,0.981812030076981,0.196062648145955,1.00842893123627,0.150762219488247,1.00643314421177,0.253513109702836,1.03913366794586,0.20495304890717,1.02351956069469,19.1816374323568,285.748168945312,-0.461662998301046,213.080834960938,-19.6433004306578,0.482384572944665,2084600000,644.26
"26",26,2.1921162,0.51622868,1.25,0.434363735000191,1.48192077875137,0.179011174306532,1.46744295954704,0.281585541123954,1.1595568805933,0.139159529228122,1.14167667925358,0.46152295985961,1.58917173743248,0.227017112360236,1.58243790268898,78.7252240941276,1908.2806640625,48.5335286409779,1868.197265625,-30.1916954531497,0.589524577624347,2585900000,612.44
"27",27,2.1921162,0.51622868,1.6830127,0.375686180616626,1.36001259088516,0.267738745997624,1.34217232465744,0.289670010144339,1.30300551652908,0.188446066718405,1.29781514406204,0.387124041451882,1.38173595070839,0.271293606527498,1.35662600398064,36.3165354239635,287.664135742188,-20.1355173767201,87.6474853515625,-56.4520528006836,0.721751509260276,8564800000,2741.9
"28",28,2.1921162,0.51622868,1.8309475,0.404273281798092,1.5608549118042,0.262750774008836,1.55238047242165,0.288310825875669,1.3700270652771,0.173817932028424,1.36184707283974,0.406883650146926,1.52053385972977,0.247613729442617,1.50034725666046,18.8525396956047,623.41396484375,-35.6814355505627,682.420947265625,-54.5339752461674,0.710235563643363,9474400000,2638.9
"29",29,2.1921162,0.58150521,1.25,0.511462012076579,1.81164890527725,0.290330410806745,1.79304182529449,0.333832241072042,1.43491894006729,0.211403292228519,1.4150895178318,0.534262961995782,1.94023102521896,0.332126906247616,1.93166628479958,100.770643833574,2113.75546875,54.0641262485443,2054.7923828125,-46.7065175850297,0.709864478090922,2727400000,646.06
"30",30,2.1921162,0.675,0.60414777,0.760363286588206,3.23075383901596,0.513902214051546,3.11472684144974,0.592785724839713,2.94582605361938,0.392896319740329,2.94362396001816,0.609013443674254,2.43639901280403,0.431711081094378,2.40988224744797,91.1221474190027,3155.17578125,49.0824218441097,3034.5083984375,-42.039725574893,1.44132681916208,1358100000,547.16
"31",31,2.1921162,0.675,0.6690525,0.645323359436409,2.46146902441979,0.507765968088673,2.37514913082123,0.511633149532524,2.34496891498566,0.392739955798283,2.34058171510696,0.635039262967424,2.35376909375191,0.511248669062052,2.33678743243217,132.737430172538,2485.2509765625,83.6687250311413,2351.3701171875,-49.0687051413967,1.24395108775158,1590800000,575.99
"32",32,2.1921162,0.675,0.8169873,0.603922138161253,2.5017461180687,0.565075882605178,2.46897682547569,0.439724962187615,2.32723399996758,0.395989192895902,2.32036635279656,0.636451753117631,2.5560462474823,0.592403029133629,2.53257840871811,51.6351509388202,403.2580078125,-6.18858122974201,221.481982421875,-57.8237321685622,1.13174931861242,2423100000,728.05
"33",33,2.1921162,0.675,0.99501422,0.554783216251957,2.47234255075455,0.474182794803019,2.45475932955742,0.417219892469039,2.20123082399368,0.339627217623685,2.20061898231506,0.547091749177114,2.26978793740272,0.497699288788993,2.2251108288765,68.1940509110154,1379.3408203125,4.01384875383958,1413.1439453125,-64.1802021571758,0.980010948649531,2583500000,512.1
"34",34,2.1921162,0.675,1.25,0.645400533511691,2.37985417246818,0.518259595685559,2.34785914421081,0.473232200145363,2.01408118009567,0.380675622228199,1.9914847612381,0.638638943453006,2.43315264582634,0.54371414576164,2.39477351307869,160.614453590809,2388.3076171875,63.7419799807527,2293.473828125,-96.8724736100563,1.05322175218363,2805800000,717.94
"35",35,2.1921162,0.675,1.5049858,0.704489533453074,2.83023148775101,0.568265586783808,2.77112543582916,0.526208953609547,2.65275359153748,0.417554968287452,2.64734923839569,0.734192365122804,3.21668893098831,0.566322219734546,3.20040762424469,14.6679073823386,1676.50703125,-92.9608613473459,1349.44326171875,-107.628768729684,1.27268216696977,4004600000,1130.4
"36",36,2.1921162,0.675,1.6830127,0.830227452075117,3.13232123851776,0.67746821984347,3.1082284450531,0.610694369984021,2.92120635509491,0.469453304256044,2.9059961438179,0.849144898841855,3.33141714334488,0.685764132513523,3.29867213964462,85.502466326377,469.862255859375,-62.9749460196199,40.0636352539062,-148.477412345997,1.60338854871637,9460800000,2764.2
"37",37,2.1921162,0.675,1.8309475,0.798739074625778,3.38422626256943,0.618310195950493,3.35751563310623,0.602303425962768,3.0613386631012,0.445522127977501,3.04479271173477,0.741515485195395,3.03984194993973,0.583037889284613,3.00445169210434,57.9147431808514,749.526025390625,-72.6826484221436,862.16689453125,-130.597391602995,1.56456481283168,9041700000,2456.1
"38",38,2.1921162,0.675,1.8958522,0.818205774124917,3.41371685266495,0.610371632645631,3.38388174772263,0.595248047994503,3.03794711828232,0.428567186330978,3.01624476909638,0.711451523827061,2.99721777439117,0.575234251340443,2.9636549949646,67.0664770046433,1121.53203125,-70.7005639483002,1202.68642578125,-137.767040952943,1.51555169151306,8295300000,2102.6
"39",39,2.1921162,0.76849479,1.25,0.981646265065362,3.37553977966309,0.901122072050973,3.33354324102402,0.768862856399769,2.95355319976807,0.67617417056667,2.92763352394104,0.97855418938123,3.40423136949539,0.947274033006609,3.33921402692795,202.251139728338,2631.827734375,46.6309023023101,2495.7498046875,-155.620237426028,1.82459817864419,2753300000,802.26
"40",40,2.1921162,0.83377132,0.6690525,1.32869427053928,5.88906466960907,1.215816191104,5.76771676540375,1.08097448237176,5.61233818531036,0.962044545003664,5.60869038105011,1.32511403418556,5.12324154376984,1.20816340715031,5.04097878932953,168.31169880986,2982.328125,53.2241093590145,2656.933203125,-115.087589450845,2.75679264920356,1.66e+09,618.78
"41",41,2.1921162,0.83377132,0.8169873,1.45645053927555,6.19721412658691,1.39032767513194,6.11287355422974,1.05794363794555,5.77040910720825,0.989178754524097,5.74832439422607,1.48093271967844,6.18551015853882,1.41094113639592,6.12597167491913,99.4899357663383,583.86279296875,-54.6866662887041,165.043225097656,-154.176602055042,2.81114580067618,2918700000,809.67
"42",42,2.1921162,0.83377132,1.25,1.33760328988583,4.32635456323624,1.25288017139953,4.27056282758713,1.07648616766808,3.84678304195404,0.980511501021913,3.81820946931839,1.31891660306252,4.33513671159744,1.2865603613162,4.25174951553345,219.033523987899,2782.7314453125,8.38614076913054,2631.137109375,-210.647383218768,2.62487103402041,2869100000,881.3
"43",43,2.1921162,0.83377132,1.6830127,1.81130110793503,7.30677247047424,1.44818452071524,7.22992420196533,1.39191574981445,6.79665088653564,1.06846971605969,6.75812065601349,1.86595180134968,7.46113002300262,1.47240703233631,7.37148821353912,169.28549698846,834.54833984375,-160.872427307401,45.1389587402344,-330.157924295861,3.74839131537443,1.0777e+10,3079.9
"44",44,2.1921162,0.83377132,1.8309475,1.74862813807605,7.44178473949432,1.42691568439376,7.36646175384521,1.3314040798376,6.8329781293869,1.04085865203076,6.80059194564819,1.68522288528924,7.05540955066681,1.39933728912175,6.96680784225464,142.721083996613,828.423828125,-171.742489692228,1047.73125,-314.463573688841,3.53684087628215,9384200000,2470
"45",45,2.1921162,0.88801408,0.8169873,1.86695565397966,7.93154001235962,1.76700652353828,7.83059179782867,1.35374552066881,7.40268707275391,1.25533626001186,7.37293243408203,1.90676271772022,7.9608166217804,1.80537986409648,7.87844896316528,117.826839145464,659.3455078125,-77.29672052933,150.929675292969,-195.123559674794,3.61259982318217,3001600000,806.02
"46",46,2.1921162,0.88801408,1.25,1.69754163664851,5.28527021408081,1.60620303768682,5.20843803882599,1.37079140878632,4.70931082963943,1.27160429891424,4.68518406152725,1.6902130581042,5.41273236274719,1.65205217528337,5.3015148639679,222.941645091736,2882.791015625,-47.0670226216316,2738.944140625,-270.008667713368,3.37690224896097,3274300000,1004.8
"47",47,2.1921162,0.88801408,1.6830127,2.26699823054371,8.98273468017578,1.77782902360854,8.8717645406723,1.76180611084027,8.36526989936829,1.32964144271402,8.31845223903656,2.33080059626921,9.10402774810791,1.80312803466943,8.98802578449249,203.515619032025,987.59794921875,-197.302680776634,52.1199523925781,-400.818299808659,4.71381989288891,1.0443e+10,2895.3
"48",48,2.1921162,0.91181249,1.25,1.83169110856491,5.58255612850189,1.73907277040777,5.50218284130096,1.49191714540267,5.12607157230377,1.39098309379579,5.11293232440948,1.82595643953831,5.92000722885132,1.7859230274333,5.80162703990936,223.384800625561,2919.7232421875,-69.8453424626655,2802.8791015625,-293.230143088226,3.6857273158005,3505400000,1071.3
