"","number","Wo","CR","Freq","aorta_Um_avg","aorta_Um_max","aorta_Ux_avg","aorta_Ux_max","connect_Um_avg","connect_Um_max","connect_Uy_avg","connect_Uy_max","vena_Um_avg","vena_Um_max","vena_Ux_avg","vena_Ux_max","aorta_P_avg","aorta_P_max","vena_P_avg","vena_P_max","delta_P","Q","COT","Work"
"1",1,0.56440976,0.675,1.25,0.752386152692934,2.77700573205948,0.694001743862221,2.73195147514343,0.618254978839318,2.40137308835983,0.550130980206716,2.38673493266106,0.754593407312737,2.89674282073975,0.733230462638575,2.84926116466522,428.437904920765,2837.165234375,-329.146772747654,1936.887109375,-757.584677668419,1.46308722825696,5214300000,1294.9
"2",2,0.78737526,0.51622868,1.25,0.439369201165147,1.78353443741798,0.306504300002462,1.7683944106102,0.327658077387287,1.45260602235794,0.258458524545899,1.45118072628975,0.443172314006051,1.75898477435112,0.31792561085322,1.73068910837173,142.607081692072,2049.5837890625,-90.1379468248082,1695.74921875,-232.74502851688,0.660811208393659,3465200000,841.92
"3",3,0.78737526,0.675,0.8169873,0.748088106949761,3.59077632427216,0.641507436217275,3.52545022964477,0.702331794402414,3.53007018566132,0.598043720199353,3.51374715566635,0.682259693553329,3.72408002614975,0.577751319061601,3.68883907794952,98.007575855102,741.80966796875,-127.726351507202,66.9073974609375,-225.733927362304,1.74062550895977,4.94e+09,1399.5
"4",4,0.78737526,0.675,1.25,0.836556360276727,2.91858553886414,0.774080794022011,2.89373070001602,0.782875146964053,2.53329485654831,0.743133452736059,2.53206223249435,0.775170780339423,2.90537744760513,0.753828374453299,2.85728603601456,290.162205369065,2619.543359375,-138.763941389515,2169.251953125,-428.92614675858,1.46694085886208,4287400000,1079.8
"5",5,0.78737526,0.675,1.6830127,1.11317797018008,4.80425149202347,0.852223793679288,4.74325150251388,0.972703083165119,4.7463995218277,0.724491123061436,4.74466472864151,1.18340268904816,4.70891356468201,0.912088784955744,4.65216428041458,312.499854235723,1355.8759765625,-329.218177481083,141.884240722656,-641.718031716806,2.29442772485754,1.4873e+10,4023.3
"6",6,0.78737526,0.83377132,1.25,1.64361036941213,4.94057714939117,1.56421277539124,4.9016860127449,1.3973323784414,4.49027866125107,1.32236341169328,4.48706150054932,1.57146118361968,4.88869309425354,1.5392064642402,4.80568885803223,493.334251213074,3142.173046875,-288.696863200853,2437.35703125,-782.031114413927,3.00452693673384,7033400000,1577.3
"7",7,1.2157465,0.46198592,1.25,0.359321289500918,1.44544467329979,0.217500540826695,1.42305225133896,0.255378424638526,1.17130644619465,0.173803303399551,1.1616026610136,0.382124653942317,1.58166602253914,0.236414877541788,1.57150402665138,70.9729077830034,1798.0078125,-8.5485697109733,1723.965625,-79.5214774939767,0.53968052974889,2744700000,625.36
"8",8,1.2157465,0.51622868,0.8169873,0.324692561641328,1.63976833224297,0.259817941793111,1.6097030043602,0.257557470926194,1.62133008241653,0.197138591910906,1.61472782492638,0.323734661956315,1.77363902330399,0.250703466861819,1.76233530044556,10.885878928024,342.85126953125,-31.0124558322848,177.391735839844,-41.8983347603088,0.789964266443726,2966700000,949.4
"9",9,1.2157465,0.51622868,1.25,0.416167379169132,1.70615464448929,0.294027263913904,1.67942464351654,0.308691358862573,1.39770314097405,0.237611907788817,1.38666659593582,0.424178356529068,1.88292160630226,0.313363910041452,1.87057659029961,87.8070981277601,1984.7791015625,-36.261227180008,1891.25859375,-124.068325307768,0.664907371893305,2873200000,701
"10",10,1.2157465,0.51622868,1.6830127,0.508862877298009,2.17384859919548,0.367694925220505,2.13697254657745,0.425687095394935,2.14600816369057,0.298521800989338,2.13501021265984,0.599657494353241,2.21133172512054,0.412838574202367,2.1729938685894,61.8051964879131,425.965087890625,-64.5852287996127,14.2050018310547,-126.390425287526,1.11381102107493,1.271e+10,4147.2
"11",11,1.2157465,0.675,0.6690525,0.629269082579331,3.51288557052612,0.543974495374257,3.4638249874115,0.546808850105333,3.41099888086319,0.471045137511649,3.40981870889664,0.829348497732989,3.45028728246689,0.686103732577767,3.40200543403625,-138.977590779163,2580.19609375,-258.882623923791,2299.9533203125,-119.905033144628,1.66231014088679,1859800000,637.75
